Unnamed: 0,title,ingredients,instructions,image_url,url,ingredients_clear,new_clear
0,Салат с кукурузой,"250 г крабовых палочек
-250 г консервированной кукурузы (без жидкости)
-3 яйца
-150 г лука
-майонез
-соль","Лук мелко нарезать.
Если вы используете горький лук, его надо залить кипятком.
Оставить на 10 минут.
Затем воду слить.
Лук промыть в холодной воде.
Крабовые палочки мелко нарезать.
Яйца натереть на средней терке.
Добавить кукурузу, крабовые палочки, лук.
Немного посолить.
Заправить майонезом.
Приятного аппетита!",https://ist.say7.info/img0000/18/18_0138djs_0441_6hi.jpg,https://www.say7.info/cook/recipe/18.html,"['палочка', 'консервированный', 'лука', 'кукуруза', 'крабовый', 'яйцо', 'майонез', 'жидкость']","['яйцо', 'крабовый', 'лука', 'палочка', 'жидкость', 'майонез', 'консервированный', 'кукуруза']"
1,Салат «Любимый»,"1 кг печени (говяжьей)
-3 яйца
-200 г моркови
-150 г лука
-соль
-майонез
-растительное масло","Печень отварить в соленой воде (варить около 30–40 минут после закипания).
Остудить.
Перекрутить на мясорубке.
Лук мелко нарезать.
Яйца натереть на мелкой терке.
Сырую морковь натереть на мелкой терке.
На растительном масле обжарить лук до золотистого цвета.
Смешать печень, лук, морковь, яйца.
Немного посолить.
Заправить майонезом.
Приятного аппетита!",https://ist.say7.info/img0000/19/19_0144q91_7256_6hi.jpg,https://www.say7.info/cook/recipe/19.html,"['говяжий', 'лука', 'яйцо', 'майонез', 'морковь', 'масло', 'растительный', 'печень']","['печень', 'яйцо', 'растительный', 'морковь', 'лука', 'масло', 'говяжий', 'майонез']"
2,Штрудели,"500 г фарша
-500–700 г картофеля
-150 г лука
-соль
-перец
-растительное масло
-100 мл кефира
-1 яйцо
-1 ч.л. разрыхлителя (или 0,5 ч.л. соды)
-200–250 г муки
-соль","Яйцо смешать с кефиром.
Добавить разрыхлитель, соль, муку.
Замесить не очень крутое тесто.
Накрыть полотенцем.
Поставить на 1 час в теплое место.
Фарш посолить, поперчить.
Перемешать.
Тесто раскатать.
Выложить на тесто фарш.
Разровнять.
Тесто с фаршем свернуть в рулет.
Рулет нарезать на кусочки шириной 2–3 см.
Оставить на 15 минут.
Лук мелко нарезать.
Картофель почистить, крупно нарезать.
В глубокой, широкой кастрюле на растительном масле обжарить лук до золотистого цвета.
Добавить картофель.
Налить немного воды (так, чтобы вода покрывала картофель на ⅓).
Посолить, поперчить.
Довести до кипения.
На картофель выложить штрудели (выкладывать надо не плотно, т.к. во время приготовления штрудели увеличатся в размере).
Накрыть крышкой.
Готовить на маленьком огне в течение 40–50 минут.
Приятного аппетита!",https://ist.say7.info/img0000/21/21_0185iao_5850_6hi.jpg,https://www.say7.info/cook/recipe/21.html,"['сода', 'лука', 'кефир', 'яйцо', 'мука', 'фарш', 'масло', 'или', 'растительный', 'разрыхлитель', 'картофель']","['яйцо', 'растительный', 'разрыхлитель', 'или', 'фарш', 'сода', 'лука', 'масло', 'картофель', 'кефир', 'мука']"
3,Бутерброды «Сюрприз»,"6 яиц
-батон
-растительное масло
-1 ч.л. сливочного масла
-1 ч.л. муки
-1 стакан мясного бульона
-100 г сметаны
-соль","Батон нарезать на 6 кусочков, толщиной 1–1.5 см.
Из середины вынуть мякиш.
Обжарить кусочки на растительном масле до золотистого цвета.
Масло растопить.
Добавить муку.
Перемешать.
Добавить бульон.
Добавить сметану.
Довести до кипения.
Соус вылить в форму.
Выложить кусочки батона.
В серединку кусочков разбить яйца.
Посолить.
Поставить в духовку.
Запекать при температуре 180 градусов в течение 20–25 минут.
Приятного аппетита!",https://ist.say7.info/img0000/22/22_0127geq_3212_6hi.jpg,https://www.say7.info/cook/recipe/22.html,"['сливочный', 'мясной', 'бульон', 'яйцо', 'мука', 'стакан', 'сметана', 'батон', 'масло', 'растительный']","['яйцо', 'растительный', 'батон', 'масло', 'бульон', 'мука', 'сметана', 'мясной', 'стакан', 'сливочный']"
4,Салат «Ночь»,"300 г говяжьей печени
-250 г картофеля
-200 г огурцов
-100 г лука
-3 яйца
-соль
-майонез","Печень отварить до готовности (варить около 20–30 минут после закипания).
Картофель отварить до готовности.
Лук мелко нарезать.
Залить лук кипятком.
Оставить на 10 минут.
Воду слить.
Лук промыть в холодной воде (это делается для того, чтобы он не горчил).
Печень нарезать соломкой.
Картофель почистить.
Нарезать кубиками.
Огурец нарезать соломкой.
Яйца натереть на средней терке.
Смешать огурец, картофель, яйца, лук, печень.
Посолить по вкусу.
Заправить майонезом.
Приятного аппетита!",https://ist.say7.info/img0000/23/23_0158xai_0737_6hi.jpg,https://www.say7.info/cook/recipe/23.html,"['говяжий', 'огурец', 'лука', 'яйцо', 'майонез', 'картофель', 'печень']","['печень', 'яйцо', 'лука', 'картофель', 'говяжий', 'майонез', 'огурец']"
5,Салат «Правительственный»,"300 г картофеля
-150 г моркови
-200 г свеклы
-150 г лука
-200 г маринованных огурцов
-200 г яблок
-3 яйца
-соль
-майонез","Картофель и морковь отварить до готовности.
Свеклу отварить до готовности.
Лук мелко нарезать.
Залить его кипятком.
Оставить на 10 минут.
Воду слить.
Лук промыть в холодной воде.
Свеклу натереть на мелкой терке.
Морковь натереть на мелкой терке.
Картофель натереть на мелкой терке.
Огурцы мелко нарезать.
Яйца натереть на мелкой терке.
Яблоко почистить.
Натереть на мелкой терке.
На дно тарелки (я использовала тарелку диаметром 25 см) выложить картофель.
Немного посолить.
Смазать майонезом.
На картофель выложить морковь.
Немного смазать майонезом.
На морковь выложить лук.
На лук выложить огурцы.
Немного смазать майонезом.
На огурцы выложить яйца.
Смазать майонезом.
На яйца выложить яблоки.
Смазать майонезом.
На яблоки выложить свеклу.
Желательно дать салату пропитаться.
Приятного аппетита!",https://ist.say7.info/img0000/24/24_0150m8b_0805_6hi.jpg,https://www.say7.info/cook/recipe/24.html,"['свёкла', 'лука', 'мариновать', 'огурец', 'яблоко', 'яйцо', 'майонез', 'морковь', 'картофель']","['яйцо', 'мариновать', 'свёкла', 'яблоко', 'морковь', 'лука', 'картофель', 'майонез', 'огурец']"
6,Салат «Лохматый»,"300 г копченой колбасы
-300 г картофеля
-200 г моркови
-200 г свеклы
-150 г лука
-майонез
-чеснок
-соль","Картофель и морковь отварить до готовности.
Свеклу отварить до готовности.
Лук мелко нарезать.
Залить кипятком.
Оставить на 10–15 минут.
Воду слить.
Лук промыть в холодной воде (это делается для того, чтобы он не горчил).
Колбасу нарезать соломкой.
Картофель натереть на мелкой терке.
Морковь натереть на мелкой терке.
Свеклу натереть на мелкой терке.
В майонез добавить выдавленный чеснок (по вкусу).
Перемешать.
На дно салатницы или креманок выложить картофель.
Немного посолить.
Смазать майонезом.
На картофель выложить свеклу.
Немного смазать майонезом.
На свеклу выложить лук.
На лук выложить морковь.
Немного посолить.
Смазать майонезом.
На морковь выложить колбасу.
Приятного аппетита!",https://ist.say7.info/img0000/25/25_01287xa_1544_6hi.jpg,https://www.say7.info/cook/recipe/25.html,"['свёкла', 'лука', 'колбаса', 'копчёный', 'чеснок', 'майонез', 'морковь', 'картофель']","['колбаса', 'свёкла', 'морковь', 'лука', 'копчёный', 'картофель', 'чеснок', 'майонез']"
7,Салат с фасолью и грибами,"150 г фасоли
-300 г грибов
-2 яйца
-150 г лука
-растительное масло
-соль
-перец","Фасоль замочить в холодной воде на 3–4 часа.
Отварить до готовности.
Остудить.
Лук мелко нарезать.
Грибы мелко нарезать.
Яйца натереть на средней терке.
На растительном масле обжарить лук.
Добавить грибы.
Жарить в течение 20–25 минут.
Смешать фасоль, грибы, яйца.
Посолить, поперчить.
Заправить растительным маслом.
Приятного аппетита!",https://ist.say7.info/img0000/26/26_0190vmt_9231_6hi.jpg,https://www.say7.info/cook/recipe/26.html,"['фасоль', 'гриб', 'лука', 'яйцо', 'масло', 'растительный']","['яйцо', 'растительный', 'фасоль', 'лука', 'масло', 'гриб']"
8,Салат с кукурузой и грибами,"1 баночка кукурузы (380 г)
-300 г грибов
-100 г лука
-150 г моркови
-300 г куриного филе
-2 яйца
-соль
-майонез
-растительное масло","Филе отварить до готовности (варить около 20 минут после закипания).
Остудить.
Мелко нарезать.
Лук мелко нарезать.
Морковь натереть на средней терке.
Грибы почистить.
Нарезать кубиками.
На растительном масле обжарить лук.
Добавить морковь.
Слегка обжарить.
Добавить грибы.
Жарить до тех пор, пока не испарится вся жидкость (около 10 минут).
Остудить.
Яйца натереть на средней терке.
Смешать грибы с луком и морковью, яйца, филе, кукурузу (воду слить).
Немного посолить.
Заправить майонезом.
Приятного аппетита!",https://ist.say7.info/img0000/28/28_0179b8e_1691_6hi.jpg,https://www.say7.info/cook/recipe/28.html,"['куриный', 'лука', 'гриб', 'кукуруза', 'яйцо', 'филе', 'майонез', 'морковь', 'масло', 'растительный']","['яйцо', 'растительный', 'куриный', 'морковь', 'филе', 'лука', 'масло', 'майонез', 'гриб', 'кукуруза']"
9,Салат с кукурузой и капустой,"1 баночка кукурузы (380 г)
-200–300 г свежей капусты
-240 г крабового мяса или крабовых палочек
-сок половинки лимона
-майонез","Крабовое мясо мелко нарезать.
Капусту мелко нашинковать.
Добавить лимонный сок.
Перемешать.
Добавить кукурузу, крабовое мясо.
Хорошо перемешать.
Заправить майонезом.
Приятного аппетита!",https://ist.say7.info/img0000/29/29_0171ky1_5667_6hi.jpg,https://www.say7.info/cook/recipe/29.html,"['палочка', 'лимон', 'сок', 'капуста', 'кукуруза', 'крабовый', 'мясо', 'половинка', 'майонез', 'свежеть', 'или']","['сок', 'крабовый', 'половинка', 'или', 'мясо', 'капуста', 'лимон', 'палочка', 'майонез', 'свежеть', 'кукуруза']"
